"url","title","instructors","topics","departments","resource_types","year","id","date","level"
"https://ocw.mit.edu/courses/cms-s63-playful-augmented-reality-audio-design-exploration-fall-2019/","Playful Augmented Reality Audio Design Exploration","Mikael Jakobsson, Philip B. Tan","Fine Arts, Game Design, Media Studies, Social Science, Game Theory","Comparative Media Studies/Writing","Lecture Videos, Demonstration Videos, Design Assignments","2019","CMS.S63","Fall 2019","Undergraduate"
"https://ocw.mit.edu/courses/5-310-laboratory-chemistry-fall-2019/","Laboratory Chemistry","Dr. John J. Dolhun, Dr. Sarah Hewett","Science, Chemistry","Chemistry","Lecture Videos","2019","5.310","Fall 2019","Undergraduate"
"https://ocw.mit.edu/courses/res-15-004-system-dynamics-systems-thinking-and-modeling-for-a-complex-world-january-iap-2020/","System Dynamics: Systems Thinking and Modeling for a Complex World","James E. Paine","Business, Management, Operations Management, Organizational Behavior","Supplemental Resources","Lecture Videos, Lecture Notes","2020","RES.15-004","January IAP 2020","Graduate"
"https://ocw.mit.edu/courses/7-05-general-biochemistry-spring-2020/","General Biochemistry","Prof. Michael Yaffe, Prof. Matthew Vander Heiden","Science, Biology, Biochemistry, Chemistry, Analytical Chemistry, Organic Chemistry, Physical Chemistry","Biology","Lecture Videos, Problem Sets with Solutions, Exams","2020","7.05","Spring 2020","Undergraduate"
"https://ocw.mit.edu/courses/8-02-physics-ii-electricity-and-magnetism-spring-2019/","Physics II: Electricity and Magnetism","Dr. Peter Dourmashkin, Dr. Michelle Tomasik, Prof. Krishna Rajagopal, Analia Barrantes, Prof. Robert Redwine","Science, Physics, Electromagnetism","Physics","Lecture Videos, Online Textbook","2019","8.02","Spring 2019","Undergraduate"
"https://ocw.mit.edu/courses/18-01-calculus-i-single-variable-calculus-fall-2020/","Calculus I: Single Variable Calculus","Prof. David Jerison, Prof. Gigliola Staffilani, Dr. Jennifer French, Prof. Stephen Wang","Mathematics, Calculus","Mathematics","Lecture Videos","2020","18.01","Fall 2020","Undergraduate"
"https://ocw.mit.edu/courses/res-tll-009-iit-joint-entrance-exam-preparation-fall-2022/","IIT Joint Entrance Exam Preparation ","Dr. Ankur Gupta","Teaching and Education","Supplemental Resources","Lecture Videos","2022","RES-TLL-009","Fall 2022","High School"
"https://ocw.mit.edu/courses/6-832-underactuated-robotics-spring-2022/","Underactuated Robotics","Prof. Russell Tedrake","Engineering, Computer Science, Artificial Intelligence, Electrical Engineering, Robotics and Control Systems","Electrical Engineering and Computer Science","Online Textbook, Lecture Videos","2022","6.832","Spring 2022","Graduate"
"https://ocw.mit.edu/courses/12-340x-global-warming-science-spring-2020/","Global Warming Science","Prof. Kerry Emanuel, Prof. Daniel Cziczo, Prof. David McGee","Energy, Climate, Science, Earth Science, Atmospheric Science, Climate Studies, Environmental Science","Earth, Atmospheric, and Planetary Sciences","Lecture Notes, Lecture Videos, Problem Sets, Exams","2020","12.340x","Spring 2020","Undergraduate"
"https://ocw.mit.edu/courses/24-s96-linguistics-and-social-justice-language-education-and-human-rights-fall-2021/","Linguistics and Social Justice: Language, Education, and Human Rights","Prof. Michel DeGraff","Humanities, Linguistics, Social Science, Sociology, Social Justice, Society, Indigenous Studies, The Developing World, Teaching and Education, Education Policy","Linguistics and Philosophy","Lecture Videos","2021","24.S96","Fall 2021","Graduate"
"https://ocw.mit.edu/courses/6-4210-robotic-manipulation-fall-2022/","Robotic Manipulation","Prof. Russell Tedrake","Engineering, Computer Science, Artificial Intelligence, Electrical Engineering, Robotics and Control Systems","Electrical Engineering and Computer Science","Online Textbook, Lecture Videos","2022","6.4210","Fall 2022","Undergraduate, Graduate"
"https://ocw.mit.edu/courses/11-941-use-of-joint-fact-finding-in-science-intensive-policy-disputes-part-i-fall-2003/","Use of Joint Fact Finding in Science Intensive Policy Disputes, Part I","Dr. Herman Karl, Prof. Lawrence Susskind","Engineering, Environmental Engineering, Environmental Management, Social Science, Public Administration, Environmental Policy, Science and Technology Policy","Urban Studies and Planning","Lecture Videos, Lecture Notes","2003","11.941","Fall 2003","Graduate"
